番号,名詞1,助詞1,名詞2,助詞2,名詞3,助詞3,動詞,子ども用解説,大人用解説,,
24,先生,が,学生,に,質問,を,する,「に」はあいて、「を」はすることだよ。,受け手＋対象。,,
25,わたし,は,夜,に,音楽,を,聞く,「に」は時間、「を」は聞くものだよ。,時間＋対象。,,
26,ぼく,は,公園,で,友達,と,遊ぶ,「で」は場所、「と」はいっしょだよ。,場所＋共同。,,
27,犬,が,ボール,を,,,追う,「を」は追うものだよ。,対象。,,
28,鳥,が,木,に,,,止まる,「に」は場所だよ。,位置。,,
29,先生,は,日本,の,歴史,を,教える,「の」はつながり、「を」は教える内容だよ。,連体修飾＋対象。,,
30,わたし,は,電車,で,学校,へ,行く,「で」はのりもの、「へ」は行き先だよ。,手段＋方向。,,
31,ぼく,は,山,に,,,登る,「は」はだれ、「に」は行き先だよ。,主題提示「は」、到達点「に」。,,
32,わたし,は,スーパー,で,野菜,を,買う,「で」は場所、「を」は買うものだよ。,動作場所「で」、対象「を」。,,
33,ねこ,が,机,の,上,に,のる,「の」はつながり、「に」は場所だよ。,連体修飾「の」、位置「に」。,,
34,先生,が,図書館,で,本,を,探す,「で」は場所、「を」は探すものだよ。,動作場所＋対象。,,
35,友達,と,駅,で,,,会う,「と」はあいて、「で」は場所だよ。,共同相手「と」、動作場所「で」。,,
36,わたし,は,朝,から,夜,まで,働く,「から」ははじまり、「まで」はおわりだよ。,起点と終点。,,
37,ぼく,は,妹,より,背,が,低い,「より」はくらべるときだよ。,比較基準「より」、主格「が」。,,
38,犬,が,川,で,,,泳ぐ,「で」は場所だよ。,動作場所。,,
39,鳥,が,空,から,地面,に,降りる,「から」ははじまり、「に」は行き先だよ。,起点＋到達点。,,
40,先生,は,英語,の,授業,を,する,「の」はつながり、「を」はすることだよ。,連体修飾＋対象。,,
41,わたし,は,友達,に,プレゼント,を,あげる,「に」はあいて、「を」はものだよ。,受け手＋対象。,,
42,ぼく,は,友達,から,手紙,を,もらう,「から」はくれる人だよ。,起点（授与）。,,
43,ねこ,が,屋根,の,上,で,寝る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
44,犬,が,公園,まで,,,走る,「まで」はおわりの場所だよ。,終点。,,
45,先生,が,学生,と,研究,を,する,「と」はいっしょ、「を」はすることだよ。,共同＋対象。,,
46,わたし,は,バス,で,駅,へ,行く,「で」はのりもの、「へ」は行き先だよ。,手段＋方向。,,
47,ぼく,は,机,の,下,に,かくれる,「の」はつながり、「に」は場所だよ。,連体修飾＋位置。,,
48,鳥,が,海,を,,,渡る,「を」は通る場所だよ。,経路。,,
49,友達,が,学校,で,テスト,を,受ける,「で」は場所、「を」はすることだよ。,動作場所＋対象。,,
50,わたし,は,先生,に,質問,を,する,「に」はあいて、「を」はすることだよ。,受け手＋対象。,,
51,ぼく,は,昼,に,ごはん,を,食べる,「に」は時間、「を」は食べるものだよ。,時間＋対象。,,
52,ねこ,が,ドア,の,前,で,待つ,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
53,犬,が,家,から,外,へ,出る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
54,先生,が,黒板,を,,,消す,「を」は消すものだよ。,対象。,,
55,わたし,は,兄,と,ゲーム,を,する,「と」はいっしょ、「を」はすることだよ。,共同＋対象。,,
56,ぼく,は,川,の,水,を,飲む,「の」はつながり、「を」は飲むものだよ。,連体修飾＋対象。,,
57,鳥,が,木,から,,,飛び立つ,「から」ははじまりだよ。,起点。,,
58,友達,が,わたし,を,,,呼ぶ,「を」は呼ぶ相手だよ。,対象。,,
59,先生,は,日本,より,外国,が,好きだ,「より」はくらべるときだよ。,比較基準。,,
60,わたし,は,図書館,で,静か,に,勉強する,「で」は場所だよ。,動作場所。,,
61,ぼく,は,駅,まで,,,歩く,「まで」はおわりの場所だよ。,終点。,,
62,ねこ,が,ソファ,の,上,で,寝る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
63,犬,が,人,に,,,ほえる,「に」はあいてだよ。,対象相手。,,
64,先生,が,学生,から,質問,を,受ける,「から」はくる人だよ。,起点（授与）。,,
65,わたし,は,音楽,を,,,作る,「を」は作るものだよ。,対象。,,
66,ぼく,は,友達,と,学校,へ,行く,「と」はいっしょ、「へ」は行き先だよ。,共同＋方向。,,
67,鳥,が,空,に,,,上がる,「に」は行き先だよ。,到達点。,,
68,友達,が,家,に,,,来る,「に」は行き先だよ。,到達点。,,
69,先生,が,本,を,,,読む,「を」は読むものだよ。,対象。,,
70,わたし,は,料理,を,,,作る,「を」は作るものだよ。,対象。,,
71,ぼく,は,夜,まで,,,勉強する,「まで」はおわりの時間だよ。,終点（時間）。,,
72,ねこ,が,魚,を,,,見つける,「を」は見つけるものだよ。,対象。,,
73,犬,が,ボール,で,,,遊ぶ,「で」は道具だよ。,手段。,,
74,先生,が,教室,で,授業,を,する,「で」は場所、「を」はすることだよ。,場所＋対象。,,
75,わたし,は,朝,から,,,勉強する,「から」ははじまりの時間だよ。,起点（時間）。,,
76,ぼく,は,山,から,景色,を,見る,「から」は見る場所だよ。,起点＋対象。,,
77,鳥,が,川,に,,,降りる,「に」は行き先だよ。,到達点。,,
78,友達,が,映画,を,,,見る,「を」は見るものだよ。,対象。,,
79,先生,が,学生,に,説明,を,する,「に」はあいて、「を」はすることだよ。,受け手＋対象。,,
80,わたし,は,本,の,内容,を,理解する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
81,ぼく,は,電車,で,会社,へ,行く,「で」はのりもの、「へ」は行き先だよ。,手段＋方向。,,
82,ねこ,が,庭,で,,,あそぶ,「で」は場所だよ。,動作場所。,,
83,犬,が,家,の,中,で,寝る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
84,先生,が,問題,を,,,解く,「を」は解くものだよ。,対象。,,
85,わたし,は,友達,に,電話,を,する,「に」はあいて、「を」はすることだよ。,受け手＋対象。,,
86,ぼく,は,学校,で,友達,と,話す,「で」は場所、「と」はあいてだよ。,場所＋共同。,,
87,鳥,が,空,を,,,飛び回る,「を」は通る場所だよ。,経路。,,
88,友達,が,先生,に,,,聞く,「に」はあいてだよ。,対象相手。,,
89,先生,が,本,から,知識,を,得る,「から」はもと、「を」は得るものだよ。,起点＋対象。,,
90,わたし,は,世界,の,国,を,調べる,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
91,ぼく,は,昼,まで,,,寝る,「まで」はおわりの時間だよ。,終点（時間）。,,
92,ねこ,が,箱,の,中,に,入る,「の」はつながり、「に」は場所だよ。,連体修飾＋位置。,,
93,犬,が,道,を,,,歩く,「を」は通る場所だよ。,経路。,,
94,先生,が,学生,と,話,を,する,「と」はあいて、「を」はすることだよ。,共同＋対象。,,
95,わたし,は,朝,に,学校,へ,行く,「に」は時間、「へ」は行き先だよ。,時間＋方向。,,
96,ぼく,は,家,で,テレビ,を,見る,「で」は場所、「を」は見るものだよ。,場所＋対象。,,
97,鳥,が,木,の,枝,に,止まる,「の」はつながり、「に」は場所だよ。,連体修飾＋位置。,,
98,友達,が,公園,で,写真,を,撮る,「で」は場所、「を」は撮るものだよ。,場所＋対象。,,
99,先生,が,問題,について,説明,を,する,「について」はそのことだよ。,対象範囲を示す複合助詞。,,
100,わたし,は,日本,から,外国,へ,行く,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
101,ぼく,は,友達,の,家,に,行く,「は」はだれ、「の」はつながり、「に」は行き先だよ。,主題提示「は」、連体修飾「の」、到達点「に」。,,
102,わたし,は,朝,から,夕方,まで,働く,「から」ははじまり、「まで」はおわりだよ。,起点と終点。,,
103,ねこ,が,台所,で,魚,を,食べる,「で」は場所、「を」は食べるものだよ。,動作場所＋対象。,,
104,犬,が,庭,から,家,に,入る,「から」ははじまり、「に」は行き先だよ。,起点＋到達点。,,
105,先生,が,学生,に,課題,を,説明する,「に」はあいて、「を」はすることだよ。,受け手＋対象。,,
106,ぼく,は,図書館,で,レポート,を,書く,「で」は場所、「を」は書くものだよ。,動作場所＋対象。,,
107,わたし,は,電車,で,大阪,へ,向かう,「で」はのりもの、「へ」は行き先だよ。,手段＋方向。,,
108,鳥,が,山,の,上,を,飛ぶ,「の」はつながり、「を」は通る場所だよ。,連体修飾＋経路。,,
109,友達,と,カフェ,で,コーヒー,を,飲む,「と」はいっしょ、「で」は場所、「を」は飲むものだよ。,共同＋場所＋対象。,,
110,先生,は,日本,の,文学,を,研究する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
111,ぼく,は,夜,に,音楽,を,作る,「に」は時間、「を」は作るものだよ。,時間＋対象。,,
112,わたし,は,友達,から,情報,を,聞く,「から」はもと、「を」は聞くものだよ。,起点＋対象。,,
113,ねこ,が,ベッド,の,上,で,丸くなる,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
114,犬,が,道,の,真ん中,で,止まる,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
115,先生,が,学生,と,問題,を,考える,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
116,ぼく,は,学校,から,家,まで,走る,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
117,わたし,は,映画,を,,,見終わる,「を」は見るものだよ。,対象。,,
118,鳥,が,川,の,上,を,飛び越える,「の」はつながり、「を」は通る場所だよ。,連体修飾＋経路。,,
119,友達,が,教室,に,,,入る,「に」は行き先だよ。,到達点。,,
120,先生,が,本,から,知識,を,得る,「から」はもと、「を」は得るものだよ。,起点＋対象。,,
121,ぼく,は,スマホ,で,ニュース,を,読む,「で」はどうぐ、「を」は読むものだよ。,手段＋対象。,,
122,わたし,は,母,に,手紙,を,書く,「に」はあいて、「を」は書くものだよ。,受け手＋対象。,,
123,ねこ,が,窓,の,外,を,ながめる,「の」はつながり、「を」は見る場所だよ。,連体修飾＋対象。,,
124,犬,が,公園,で,子ども,と,遊ぶ,「で」は場所、「と」はいっしょだよ。,場所＋共同。,,
125,先生,が,学生,に,答え,を,教える,「に」はあいて、「を」は教えるものだよ。,受け手＋対象。,,
126,ぼく,は,朝,に,パン,を,焼く,「に」は時間、「を」は焼くものだよ。,時間＋対象。,,
127,わたし,は,海,で,魚,を,釣る,「で」は場所、「を」は対象だよ。,動作場所＋対象。,,
128,鳥,が,空,から,地面,へ,落ちる,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
129,友達,が,学校,の,前,で,待つ,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
130,先生,は,歴史,の,出来事,を,説明する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
131,ぼく,は,父,と,山,に,登る,「と」はいっしょ、「に」は行き先だよ。,共同＋到達点。,,
132,わたし,は,駅,まで,,,急ぐ,「まで」はおわりの場所だよ。,終点。,,
133,ねこ,が,机,の,下,に,入る,「の」はつながり、「に」は場所だよ。,連体修飾＋位置。,,
134,犬,が,ボール,を,,,くわえる,「を」は対象だよ。,対格。,,
135,先生,が,黒板,に,図,を,描く,「に」は場所、「を」は描くものだよ。,位置＋対象。,,
136,ぼく,は,友達,と,ゲーム,を,楽しむ,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
137,わたし,は,夜,まで,本,を,読む,「まで」はおわりの時間、「を」は読むものだよ。,終点＋対象。,,
138,鳥,が,木,の,枝,から,飛ぶ,「の」はつながり、「から」ははじまりだよ。,連体修飾＋起点。,,
139,友達,が,先生,に,,,相談する,「に」はあいてだよ。,対象相手。,,
140,先生,が,学生,の,名前,を,覚える,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
141,ぼく,は,学校,で,テスト,を,受ける,「で」は場所、「を」はすることだよ。,動作場所＋対象。,,
142,わたし,は,図書館,から,家,へ,帰る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
143,ねこ,が,魚,を,,,見つめる,「を」は対象だよ。,対格。,,
144,犬,が,庭,の,草,を,食べる,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
145,先生,が,問題,について,話,を,する,「について」はそのこと、「を」はすることだよ。,複合助詞＋対象。,,
146,ぼく,は,友達,に,プレゼント,を,渡す,「に」はあいて、「を」はものだよ。,受け手＋対象。,,
147,わたし,は,朝,から,運動,を,始める,「から」ははじまり、「を」はすることだよ。,起点＋対象。,,
148,鳥,が,川,の,水,を,飲む,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
149,友達,が,駅,で,電車,を,待つ,「で」は場所、「を」は対象だよ。,動作場所＋対象。,,
150,先生,が,学生,に,意見,を,求める,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
151,ぼく,は,夜,に,映画,を,見る,「に」は時間、「を」は対象だよ。,時間＋対象。,,
152,わたし,は,学校,の,授業,を,受ける,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
153,ねこ,が,ベランダ,に,,,出る,「に」は行き先だよ。,到達点。,,
154,犬,が,道,で,,,止まる,「で」は場所だよ。,動作場所。,,
155,先生,が,学生,と,議論,を,する,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
156,ぼく,は,朝,に,コーヒー,を,飲む,「に」は時間、「を」は対象だよ。,時間＋対象。,,
157,わたし,は,山,から,景色,を,楽しむ,「から」は場所、「を」は対象だよ。,起点＋対象。,,
158,鳥,が,空,に,,,消える,「に」は行き先だよ。,到達点。,,
159,友達,が,教室,で,発表,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
160,先生,が,本,を,,,紹介する,「を」は対象だよ。,対格。,,
161,ぼく,は,家,で,宿題,を,する,「で」は場所、「を」は対象だよ。,動作場所＋対象。,,
162,わたし,は,公園,へ,,,向かう,「へ」は行き先だよ。,方向。,,
163,ねこ,が,いす,の,上,で,丸くなる,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
164,犬,が,庭,から,道路,へ,出る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
165,先生,が,学生,に,本,を,すすめる,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
166,ぼく,は,図書館,で,静か,に,読む,「で」は場所だよ。,動作場所。,,
167,わたし,は,日本,より,海外,が,好きだ,「より」はくらべるときだよ。,比較基準。,,
168,鳥,が,木,に,,,止まり続ける,「に」は場所だよ。,位置。,,
169,友達,が,駅,から,家,まで,帰る,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
170,先生,が,学生,の,作品,を,評価する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
171,ぼく,は,川,で,釣り,を,楽しむ,「は」はだれ、「で」は場所、「を」はすることだよ。,主題提示＋動作場所＋対象。,,
172,わたし,は,朝,に,散歩,を,する,「に」は時間、「を」はすることだよ。,時間＋対象。,,
173,ねこ,が,庭,の,花,を,見る,「の」はつながり、「を」は対象だよ。,連体修飾＋対格。,,
174,犬,が,公園,で,元気,に,走る,「で」は場所だよ。,動作場所。,,
175,先生,が,学生,に,計画,を,説明する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
176,ぼく,は,友達,と,映画,を,楽しむ,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
177,わたし,は,駅,から,バス,で,帰る,「から」ははじまり、「で」はのりものだよ。,起点＋手段。,,
178,鳥,が,空,の,上,を,飛び続ける,「の」はつながり、「を」は通る場所だよ。,連体修飾＋経路。,,
179,友達,が,学校,に,,,集まる,「に」は行き先だよ。,到達点。,,
180,先生,が,本,について,説明,を,する,「について」はそのこと、「を」はすることだよ。,複合助詞＋対象。,,
181,ぼく,は,夜,まで,ゲーム,を,する,「まで」はおわりの時間、「を」は対象だよ。,終点＋対象。,,
182,わたし,は,海,で,泳ぎ,を,練習する,「で」は場所、「を」はすることだよ。,場所＋対象。,,
183,ねこ,が,机,の,下,で,休む,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
184,犬,が,道,を,,,走り抜ける,「を」は通る場所だよ。,経路。,,
185,先生,が,学生,と,意見,を,交換する,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
186,ぼく,は,朝,から,勉強,を,続ける,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
187,わたし,は,友達,に,写真,を,送る,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
188,鳥,が,山,に,,,向かう,「に」は行き先だよ。,到達点。,,
189,友達,が,家,で,宿題,を,終える,「で」は場所、「を」は対象だよ。,場所＋対象。,,
190,先生,が,問題,を,,,解説する,「を」は対象だよ。,対格。,,
191,ぼく,は,図書館,で,資料,を,探す,「で」は場所、「を」は対象だよ。,動作場所＋対象。,,
192,わたし,は,朝,に,コーヒー,を,入れる,「に」は時間、「を」は対象だよ。,時間＋対象。,,
193,ねこ,が,窓,の,外,で,鳴く,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
194,犬,が,家,に,,,戻る,「に」は行き先だよ。,到達点。,,
195,先生,が,学生,に,方法,を,教える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
196,ぼく,は,友達,と,話,を,続ける,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
197,わたし,は,駅,から,徒歩,で,帰る,「から」ははじまり、「で」は手段だよ。,起点＋手段。,,
198,鳥,が,川,を,,,渡り続ける,「を」は通る場所だよ。,経路。,,
199,友達,が,教室,で,意見,を,発表する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
200,先生,が,本,の,内容,を,説明する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
201,ぼく,は,夜,に,読書,を,楽しむ,「に」は時間、「を」は対象だよ。,時間＋対象。,,
202,わたし,は,公園,で,犬,と,遊ぶ,「で」は場所、「と」はいっしょだよ。,場所＋共同。,,
203,ねこ,が,棚,の,上,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
204,犬,が,道,から,庭,に,戻る,「から」ははじまり、「に」は行き先だよ。,起点＋到達点。,,
205,先生,が,学生,に,質問,を,投げかける,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
206,ぼく,は,朝,に,運動,を,始める,「に」は時間、「を」は対象だよ。,時間＋対象。,,
207,わたし,は,友達,から,連絡,を,受ける,「から」はもと、「を」は対象だよ。,起点＋対象。,,
208,鳥,が,空,に,,,舞い上がる,「に」は行き先だよ。,到達点。,,
209,友達,が,学校,で,実験,を,行う,「で」は場所、「を」は対象だよ。,場所＋対象。,,
210,先生,が,歴史,について,説明,を,する,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
211,ぼく,は,家,で,音楽,を,聞く,「で」は場所、「を」は対象だよ。,場所＋対象。,,
212,わたし,は,朝,から,仕事,を,始める,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
213,ねこ,が,窓,に,,,近づく,「に」は行き先だよ。,到達点。,,
214,犬,が,庭,で,元気,に,遊ぶ,「で」は場所だよ。,動作場所。,,
215,先生,が,学生,と,研究,を,進める,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
216,ぼく,は,学校,へ,,,急ぐ,「へ」は行き先だよ。,方向。,,
217,わたし,は,友達,に,メール,を,送る,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
218,鳥,が,山,から,空,へ,飛ぶ,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
219,友達,が,駅,で,電車,を,待つ,「で」は場所、「を」は対象だよ。,場所＋対象。,,
220,先生,が,本,を,,,読む,「を」は対象だよ。,対格。,,
221,ぼく,は,夜,まで,作業,を,続ける,「まで」はおわりの時間、「を」は対象だよ。,終点＋対象。,,
222,わたし,は,海,で,写真,を,撮る,「で」は場所、「を」は対象だよ。,場所＋対象。,,
223,ねこ,が,ベッド,の,上,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
224,犬,が,道,を,,,歩き続ける,「を」は通る場所だよ。,経路。,,
225,先生,が,学生,に,意見,を,求める,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
226,ぼく,は,朝,に,ニュース,を,見る,「に」は時間、「を」は対象だよ。,時間＋対象。,,
227,わたし,は,友達,と,話,を,楽しむ,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
228,鳥,が,川,に,,,降りる,「に」は行き先だよ。,到達点。,,
229,友達,が,教室,で,発言,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
230,先生,が,本,の,構成,を,説明する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
231,ぼく,は,家,で,料理,を,作る,「で」は場所、「を」は対象だよ。,場所＋対象。,,
232,わたし,は,公園,へ,,,向かう,「へ」は行き先だよ。,方向。,,
233,ねこ,が,机,の,下,で,寝る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
234,犬,が,庭,から,外,へ,出る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
235,先生,が,学生,に,資料,を,配る,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
236,ぼく,は,図書館,で,本,を,借りる,「で」は場所、「を」は対象だよ。,場所＋対象。,,
237,わたし,は,朝,に,運動,を,する,「に」は時間、「を」は対象だよ。,時間＋対象。,,
238,鳥,が,空,を,,,飛び回る,「を」は通る場所だよ。,経路。,,
239,友達,が,駅,で,待ち合わせ,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
240,先生,が,問題,を,,,解く,「を」は対象だよ。,対格。,,
241,ぼく,は,夜,に,映画,を,見る,「に」は時間、「を」は対象だよ。,時間＋対象。,,
242,わたし,は,学校,で,勉強,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
243,ねこ,が,窓,の,外,を,見る,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
244,犬,が,道,で,,,止まる,「で」は場所だよ。,動作場所。,,
245,先生,が,学生,と,会話,を,する,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
246,ぼく,は,友達,に,電話,を,かける,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
247,わたし,は,朝,から,勉強,を,続ける,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
248,鳥,が,山,に,,,戻る,「に」は行き先だよ。,到達点。,,
249,友達,が,教室,で,発表,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
250,先生,が,本,について,話,を,する,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
251,ぼく,は,家,で,ゲーム,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
252,わたし,は,駅,へ,,,急ぐ,「へ」は行き先だよ。,方向。,,
253,ねこ,が,棚,の,上,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
254,犬,が,庭,から,家,に,入る,「から」ははじまり、「に」は行き先だよ。,起点＋到達点。,,
255,先生,が,学生,に,宿題,を,出す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
256,ぼく,は,図書館,で,調べ物,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
257,わたし,は,朝,に,コーヒー,を,飲む,「に」は時間、「を」は対象だよ。,時間＋対象。,,
258,鳥,が,空,を,,,飛び続ける,「を」は通る場所だよ。,経路。,,
259,友達,が,駅,で,電車,を,待つ,「で」は場所、「を」は対象だよ。,場所＋対象。,,
260,先生,が,問題,を,,,解説する,「を」は対象だよ。,対格。,,
261,ぼく,は,公園,で,ランニング,を,する,「で」は場所、「を」はすることだよ。,動作場所＋対象。,,
262,わたし,は,朝,に,ニュース,を,聞く,「に」は時間、「を」は対象だよ。,時間＋対象。,,
263,ねこ,が,屋根,の,上,で,くつろぐ,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
264,犬,が,川,に,,,飛び込む,「に」は行き先だよ。,到達点。,,
265,先生,が,学生,に,課題,を,配る,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
266,ぼく,は,友達,と,試合,を,する,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
267,わたし,は,駅,から,電車,で,通う,「から」ははじまり、「で」は手段だよ。,起点＋手段。,,
268,鳥,が,海,の,上,を,飛び続ける,「の」はつながり、「を」は通る場所だよ。,連体修飾＋経路。,,
269,友達,が,教室,に,,,集まる,「に」は行き先だよ。,到達点。,,
270,先生,が,歴史,について,授業,を,する,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
271,ぼく,は,夜,まで,読書,を,続ける,「まで」はおわりの時間、「を」は対象だよ。,終点＋対象。,,
272,わたし,は,海,で,貝,を,集める,「で」は場所、「を」は対象だよ。,場所＋対象。,,
273,ねこ,が,机,の,下,で,じっとする,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
274,犬,が,道,を,,,走り抜ける,「を」は通る場所だよ。,経路。,,
275,先生,が,学生,と,計画,を,立てる,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
276,ぼく,は,朝,から,練習,を,始める,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
277,わたし,は,友達,に,写真,を,見せる,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
278,鳥,が,山,に,,,戻る,「に」は行き先だよ。,到達点。,,
279,友達,が,家,で,宿題,を,仕上げる,「で」は場所、「を」は対象だよ。,場所＋対象。,,
280,先生,が,問題,を,,,解説する,「を」は対象だよ。,対格。,,
281,ぼく,は,図書館,で,参考書,を,探す,「で」は場所、「を」は対象だよ。,動作場所＋対象。,,
282,わたし,は,朝,に,スープ,を,作る,「に」は時間、「を」は対象だよ。,時間＋対象。,,
283,ねこ,が,窓,から,鳥,を,見る,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
